original_file,renamed_file
10REASONS NORSEORGANICS(1).pdf,LST-001_LISTICLE_ReasonsWhy_Skincare_NorseOrganics_10-Reasons.pdf
screenshot_2026-08-17-17_50_04(1).pdf,LST-002_LISTICLE_ReasonsWhy_MensHealth_PrimalViking_Man-Boobs-Comparison.pdf
8f46b8df-1d14-4700-8c25-2317343fe2a3(1).pdf,PDP-001_PDP_Classic_Supplement_Rosabella_Bundles-Reviews.pdf
75b55076-f8a2-4208-bd20-9f3b07c19135.pdf,ADV-001_ADVERTORIAL_Publieditorial_HandPain_OneCompress_Problem-Mechanism.pdf
78b5a3e4-10c4-4001-b02b-c94af35b4b94(1).pdf,PDP-002_PDP_Hybrid_TopicalJointRelief_Everleaf_SocialProof-LongForm.pdf
358cc6d9-220c-4aa9-a980-5b74b0f12ea4(1).pdf,ADV-002_ADVERTORIAL_Discovery_BackPain_LongForm_Mechanism-Story.pdf
52122404-0dd2-4b80-97c2-125c50af6997(1).pdf,PDP-003_PDP_Classic_Supplement_Resilia_Bundles-Accordions.pdf
a74006dd-5875-4fa1-a66b-7532f87b75c7(1).pdf,PDP-004_PDP_Hybrid_SleepDevice_Respire_Mechanism-Routine.pdf
d164039b-751c-4bc6-96c5-709bfd449036.pdf,PDP-005_PDP_Classic_HomeSleep_Westmonth_UGC-Variants.pdf
f5efe174-57ba-4904-9749-d83bb0e38e0d.pdf,PDP-006_PDP_Hybrid_Skincare_Veauty_MicroInfusion-Subscription.pdf
f73b5771-f5e8-44bb-8f19-ce52398a74de(1).pdf,LST-003_LISTICLE_ReasonsWhy_MensHealth_Aurivita_Comparison-Mechanism.pdf
e3b8e99b-d3fc-413b-a4be-fd13901cf2c0(1).pdf,SP-001_SALESPAGE_LongForm_WomensWellness_HormoneHarmony_UGC-Mechanism.pdf
f605eaaf-f19d-43ef-b9bf-a3007b0a424d.pdf,SP-002_SALESPAGE_LongForm_WomensWellness_HormoneHarmony_AlternateCapture.pdf
85aaaa1f-68b8-43cc-a2dc-7d703bbfd4c6.pdf,ADV-003_ADVERTORIAL_Editorial_Snoring_ComfyLab_Problem-Mechanism.pdf
3e9ea460-4d56-4e0d-9048-c705098c7a5d(1).pdf,UP-001_UPSELL_PostPurchase_JointRelief_TotalRenew_Continuation-Offer.pdf
fea5ba16-43bf-4685-ad93-fe20cebd68a5.pdf,ADV-004_ADVERTORIAL_Expert_Gastritis_WellnessReport_Mechanism-Discovery.pdf
7a8ae741-3392-4bdf-be78-0ff89cf4f465.pdf,PDP-007_PDP_Hybrid_MensHealth_PrimalViking_Urgency-Bundles.pdf
31fa9a81-d133-466c-8ab1-1503c2b0320a.pdf,OF-001_OFFERPAGE_CheckoutStyle_JointRelief_TotalRenew_Package-Selector.pdf
451041f8-9f0a-4096-8f69-d4d336c1755b(1).pdf,PDP-008_PDP_Hybrid_Skincare_Froya_BeforeAfter-Subscription.pdf
aa88fb0d-e76d-4506-b08d-48dbef920aa0(1).pdf,PDP-009_PDP_Classic_WomensWellness_Bloomin_Subscription-UGC.pdf
